id,year,country,score,overall_rank,gdp_per_capita,social_support,healthy_life_expectancy,freedom_to_make_life_choices,generosity,perceptions_of_corruption
79,2020,Libya,5.489,80,1.022,1.196,0.616,0.451,0.143,0.172
80,2020,Lithuania,6.215,41,1.194,1.433,0.795,0.42,0.054,0.081
81,2020,Luxembourg,7.238,10,1.537,1.388,0.986,0.61,0.196,0.367
82,2020,Madagascar,4.166,137,0.245,0.824,0.501,0.193,0.191,0.076
83,2020,Malawi,3.538,145,0.177,0.53,0.446,0.487,0.213,0.132
84,2020,Malaysia,5.384,82,1.168,1.174,0.789,0.597,0.275,0.062
85,2020,Maldives,5.198,87,0.938,1.402,0.914,0.548,0.224,0.072
86,2020,Mali,4.729,114,0.352,0.973,0.235,0.378,0.17,0.062
87,2020,Malta,6.773,22,1.253,1.443,0.972,0.633,0.341,0.179
88,2020,Mauritania,4.375,129,0.54,1.113,0.425,0.186,0.129,0.122
89,2020,Mauritius,6.101,49,1.074,1.396,0.763,0.591,0.187,0.084
90,2020,Mexico,6.465,24,1.024,1.226,0.832,0.554,0.083,0.083
91,2020,Moldova,5.608,70,0.708,1.237,0.713,0.39,0.174,0.014
92,2020,Mongolia,5.456,81,0.905,1.459,0.616,0.356,0.264,0.047
93,2020,Montenegro,5.546,72,1.01,1.266,0.839,0.303,0.149,0.098
94,2020,Morocco,5.095,97,0.759,0.645,0.745,0.45,0.04,0.077
95,2020,Mozambique,4.624,120,0.179,0.955,0.324,0.561,0.22,0.163
96,2020,Myanmar,4.308,133,0.678,1.098,0.495,0.597,0.57,0.188
97,2020,Namibia,4.571,122,0.84,1.246,0.407,0.445,0.076,0.054
98,2020,Nepal,5.137,92,0.444,1.101,0.669,0.481,0.301,0.128
99,2020,Netherlands,7.449,6,1.339,1.464,0.976,0.614,0.336,0.369
100,2020,New Zealand,7.3,8,1.242,1.487,1.008,0.647,0.326,0.461
101,2020,Nicaragua,6.137,46,0.62,1.271,0.803,0.56,0.213,0.174
102,2020,Niger,4.91,103,0.108,0.704,0.299,0.435,0.208,0.138
103,2020,Nigeria,4.724,115,0.646,0.987,0.168,0.435,0.221,0.048
104,2020,North Cyprus,5.536,76,1.213,1.183,1.026,0.478,0.199,0.2
105,2020,North Macedonia,5.16,90,0.935,1.183,0.803,0.41,0.186,0.025
106,2020,Norway,7.488,5,1.424,1.495,1.008,0.67,0.288,0.434
107,2020,Pakistan,5.693,66,0.617,0.873,0.47,0.405,0.229,0.123
